order_id,order_date,ship_date,ship_mode,customer_id,segment,region,product_id,category,sub_category,quantity,unit_price,discount,sales,profit
ORD-000052,2024-03-25,2024-03-27,Standard Class,CUST-00801,Consumer,Central,PROD-0052,Technology,Accessories,6,730.45,0.5,2191.35,-54.33
ORD-000053,2025-05-02,2025-05-04,Standard Class,CUST-00105,Corporate,Central,PROD-0053,Office Supplies,Storage,3,124.8,0.0,374.4,-23.33
ORD-000054,2024-04-20,2024-04-21,Standard Class,CUST-00565,Home Office,West,PROD-0054,Office Supplies,Labels,5,682.59,0.0,3412.95,70.11
ORD-000055,2024-04-01,2024-04-07,First Class,CUST-00488,Consumer,East,PROD-0055,Office Supplies,Labels,2,325.56,0.0,651.12,153.53
ORD-000056,2024-11-04,2024-11-10,Standard Class,CUST-00389,Home Office,West,PROD-0056,Technology,Machines,11,366.12,0.0,4027.32,-344.77
ORD-000057,2026-05-15,2026-05-20,Standard Class,CUST-00764,Consumer,Central,PROD-0057,Office Supplies,Paper,2,318.78,0.0,637.56,61.28
ORD-000058,2025-05-08,2025-05-11,Second Class,CUST-00542,Corporate,East,PROD-0058,Technology,Copiers,7,473.62,0.1,2983.81,889.88
ORD-000059,2023-05-18,2023-05-19,Same Day,CUST-00053,Consumer,South,PROD-0059,Office Supplies,Art,2,299.23,0.1,538.61,10.81
ORD-000060,2023-04-21,2023-04-22,Standard Class,CUST-00900,Corporate,West,PROD-0060,Office Supplies,Storage,8,373.44,0.2,2390.02,376.71
ORD-000061,2024-11-02,2024-11-04,Standard Class,CUST-00682,Home Office,Central,PROD-0061,Office Supplies,Storage,6,84.39,0.0,506.34,66.02
ORD-000062,2023-12-12,2023-12-18,Standard Class,CUST-00047,Consumer,East,PROD-0062,Office Supplies,Paper,9,620.57,0.0,5585.13,-120.14
ORD-000063,2023-02-17,2023-02-22,Standard Class,CUST-00692,Consumer,East,PROD-0063,Furniture,Furnishings,8,438.65,0.1,3158.28,266.74
ORD-000064,2026-05-24,2026-05-26,Second Class,CUST-00623,Consumer,Central,PROD-0064,Technology,Accessories,7,462.95,0.0,3240.65,-150.41
ORD-000065,2025-03-16,2025-03-19,Standard Class,CUST-00273,Consumer,Central,PROD-0065,Office Supplies,Binders,7,84.84,0.0,593.88,9.86
ORD-000066,2026-05-20,2026-05-21,Standard Class,CUST-00111,Consumer,East,PROD-0066,Office Supplies,Storage,6,530.22,0.1,2863.19,331.64
ORD-000067,2024-08-17,2024-08-19,Standard Class,CUST-00315,Corporate,West,PROD-0067,Office Supplies,Art,6,547.17,0.0,3283.02,-161.23
ORD-000068,2024-09-15,2024-09-19,Standard Class,CUST-00137,Home Office,West,PROD-0068,Technology,Accessories,7,51.21,0.0,358.47,89.07
ORD-000069,2025-07-08,2025-07-15,Standard Class,CUST-00118,Home Office,South,PROD-0069,Technology,Copiers,1,444.22,0.1,399.8,124.11
ORD-000070,2023-07-13,2023-07-20,Standard Class,CUST-00410,Home Office,Central,PROD-0070,Office Supplies,Paper,6,641.3,0.0,3847.8,1031.69
ORD-000071,2023-05-20,2023-05-27,Standard Class,CUST-00511,Consumer,South,PROD-0071,Technology,Accessories,4,291.97,0.0,1167.88,98.82
ORD-000072,2023-01-10,2023-01-15,First Class,CUST-00321,Consumer,West,PROD-0072,Furniture,Furnishings,5,7.43,0.0,37.15,5.07
ORD-000073,2026-01-23,2026-01-24,First Class,CUST-00459,Consumer,South,PROD-0073,Technology,Copiers,9,188.48,0.0,1696.32,616.15
ORD-000074,2025-07-06,2025-07-10,Standard Class,CUST-00798,Corporate,Central,PROD-0074,Technology,Copiers,3,152.02,0.15,387.65,90.17
ORD-000075,2024-07-27,2024-07-31,Standard Class,CUST-00616,Corporate,East,PROD-0075,Office Supplies,Paper,3,563.57,0.0,1690.71,201.82
ORD-000076,2025-09-19,2025-09-20,Standard Class,CUST-00039,Consumer,West,PROD-0076,Office Supplies,Paper,3,391.22,0.0,1173.66,311.34
ORD-000077,2024-07-07,2024-07-11,First Class,CUST-00420,Corporate,East,PROD-0077,Technology,Phones,6,678.4,0.1,3663.36,1059.76
ORD-000078,2023-10-16,2023-10-22,Second Class,CUST-00118,Consumer,West,PROD-0078,Furniture,Tables,6,485.15,0.0,2910.9,374.05
ORD-000079,2025-08-05,2025-08-12,Second Class,CUST-00130,Consumer,East,PROD-0079,Technology,Phones,11,578.83,0.1,5730.42,981.98
ORD-000080,2023-03-10,2023-03-14,Standard Class,CUST-00815,Corporate,South,PROD-0080,Furniture,Tables,10,852.82,0.0,8528.2,1646.92
ORD-000081,2025-08-15,2025-08-17,Standard Class,CUST-00324,Home Office,Central,PROD-0081,Office Supplies,Art,5,830.64,0.1,3737.88,-88.7
ORD-000082,2024-08-26,2024-09-02,First Class,CUST-00779,Consumer,East,PROD-0082,Office Supplies,Storage,7,114.92,0.0,804.44,-13.87
ORD-000083,2024-02-24,2024-03-01,Standard Class,CUST-00661,Consumer,Central,PROD-0083,Technology,Phones,9,671.1,0.0,6039.9,1775.1
ORD-000084,2025-07-25,2025-07-28,Standard Class,CUST-00210,Home Office,West,PROD-0084,Office Supplies,Binders,11,665.06,0.0,7315.66,90.0
ORD-000085,2025-05-25,2025-05-28,Standard Class,CUST-00856,Consumer,East,PROD-0085,Furniture,Furnishings,1,329.34,0.0,329.34,71.18
ORD-000086,2023-06-05,2023-06-07,Standard Class,CUST-00342,Consumer,South,PROD-0086,Office Supplies,Binders,8,454.46,0.0,3635.68,-241.63
ORD-000087,2023-08-03,2023-08-06,Standard Class,CUST-00429,Consumer,West,PROD-0087,Furniture,Bookcases,8,530.77,0.0,4246.16,1091.39
ORD-000088,2025-10-06,2025-10-08,Second Class,CUST-00644,Consumer,West,PROD-0088,Office Supplies,Binders,1,304.25,0.0,304.25,84.16
ORD-000089,2025-02-16,2025-02-18,Same Day,CUST-00800,Home Office,South,PROD-0089,Technology,Accessories,2,780.96,0.0,1561.92,274.68
ORD-000090,2024-03-18,2024-03-25,Standard Class,CUST-00609,Corporate,East,PROD-0090,Furniture,Tables,8,94.0,0.0,752.0,196.37
ORD-000091,2026-02-17,2026-02-23,Standard Class,CUST-00735,Corporate,South,PROD-0091,Technology,Copiers,7,807.22,0.0,5650.54,-323.47
ORD-000092,2023-05-31,2023-06-05,Standard Class,CUST-00514,Corporate,Central,PROD-0092,Furniture,Chairs,1,736.61,0.0,736.61,21.89
ORD-000093,2024-12-07,2024-12-14,Second Class,CUST-00226,Consumer,East,PROD-0093,Furniture,Furnishings,5,268.55,0.3,939.92,264.87
ORD-000094,2024-08-15,2024-08-17,Standard Class,CUST-00882,Consumer,West,PROD-0094,Office Supplies,Storage,3,463.65,0.1,1251.85,312.24
ORD-000095,2026-05-09,2026-05-15,Standard Class,CUST-00727,Corporate,West,PROD-0095,Office Supplies,Art,5,21.46,0.2,85.84,-3.53
ORD-000096,2023-02-10,2023-02-16,Second Class,CUST-00629,Consumer,East,PROD-0096,Furniture,Chairs,10,130.32,0.0,1303.2,43.33
ORD-000097,2024-12-31,2025-01-02,First Class,CUST-00476,Consumer,East,PROD-0097,Office Supplies,Binders,10,382.72,0.0,3827.2,1451.71
ORD-000098,2025-03-29,2025-04-03,Standard Class,CUST-00512,Consumer,East,PROD-0098,Office Supplies,Paper,4,648.55,0.0,2594.2,475.26
ORD-000099,2023-04-08,2023-04-15,Standard Class,CUST-00148,Consumer,South,PROD-0099,Office Supplies,Labels,3,537.59,0.0,1612.77,238.99
ORD-000100,2023-12-31,2024-01-03,Standard Class,CUST-00017,Consumer,West,PROD-0100,Office Supplies,Paper,1,448.46,0.1,403.61,47.39
ORD-000101,2025-11-28,2025-12-01,Standard Class,CUST-00866,Corporate,South,PROD-0101,Technology,Phones,3,286.56,0.15,730.73,278.44
ORD-000102,2025-11-06,2025-11-08,Same Day,CUST-00339,Consumer,Central,PROD-0102,Office Supplies,Binders,8,576.86,0.15,3922.65,1027.94
ORD-000103,2025-09-02,2025-09-08,Second Class,CUST-00489,Corporate,East,PROD-0103,Technology,Accessories,10,40.29,0.1,362.61,131.49
ORD-000104,2025-09-07,2025-09-13,Standard Class,CUST-00688,Corporate,Central,PROD-0104,Technology,Accessories,8,874.1,0.3,4894.96,671.13
ORD-000105,2025-09-16,2025-09-20,Standard Class,CUST-00159,Home Office,Central,PROD-0105,Technology,Accessories,8,210.86,0.0,1686.88,-103.78
ORD-000106,2025-03-15,2025-03-18,Standard Class,CUST-00349,Consumer,Central,PROD-0106,Office Supplies,Art,6,290.28,0.1,1567.51,537.64
ORD-000107,2026-02-05,2026-02-11,Standard Class,CUST-00781,Home Office,West,PROD-0107,Office Supplies,Storage,2,845.47,0.15,1437.3,573.44
ORD-000108,2023-01-29,2023-02-04,Standard Class,CUST-00748,Consumer,East,PROD-0108,Furniture,Tables,9,692.6,0.0,6233.4,689.9
ORD-000109,2024-01-24,2024-01-25,Standard Class,CUST-00324,Consumer,East,PROD-0109,Furniture,Bookcases,2,214.08,0.0,428.16,-38.99
ORD-000110,2024-08-07,2024-08-14,Second Class,CUST-00380,Home Office,South,PROD-0110,Office Supplies,Art,6,884.19,0.2,4244.11,850.52
ORD-000111,2025-12-21,2025-12-26,Standard Class,CUST-00861,Consumer,South,PROD-0111,Technology,Machines,6,548.92,0.0,3293.52,50.51
ORD-000112,2023-08-14,2023-08-15,Standard Class,CUST-00773,Corporate,West,PROD-0112,Furniture,Chairs,6,872.35,0.2,4187.28,1523.65
ORD-000113,2024-02-23,2024-02-25,Standard Class,CUST-00781,Home Office,South,PROD-0113,Office Supplies,Binders,8,674.35,0.0,5394.8,1874.48
ORD-000114,2025-08-09,2025-08-12,First Class,CUST-00170,Consumer,East,PROD-0114,Office Supplies,Labels,9,299.5,0.3,1886.85,504.93
ORD-000115,2026-06-03,2026-06-07,Standard Class,CUST-00037,Consumer,East,PROD-0115,Office Supplies,Storage,5,892.37,0.0,4461.85,1523.51
ORD-000116,2023-11-14,2023-11-19,Standard Class,CUST-00749,Corporate,South,PROD-0116,Technology,Machines,1,791.37,0.15,672.66,154.19
ORD-000117,2023-12-19,2023-12-22,Second Class,CUST-00170,Home Office,East,PROD-0117,Technology,Phones,4,558.66,0.15,1899.44,-39.31
ORD-000118,2024-07-10,2024-07-12,Standard Class,CUST-00551,Home Office,West,PROD-0118,Office Supplies,Paper,2,737.08,0.15,1253.04,192.63
ORD-000119,2023-10-22,2023-10-24,Standard Class,CUST-00866,Corporate,East,PROD-0119,Office Supplies,Storage,8,737.72,0.0,5901.76,245.94
ORD-000120,2024-08-08,2024-08-09,First Class,CUST-00278,Corporate,South,PROD-0120,Technology,Machines,4,160.51,0.15,545.73,203.91
ORD-000121,2023-07-11,2023-07-12,Standard Class,CUST-00120,Consumer,West,PROD-0121,Technology,Phones,11,767.91,0.5,4223.51,1005.31
ORD-000122,2024-12-16,2024-12-20,Standard Class,CUST-00033,Consumer,East,PROD-0122,Office Supplies,Art,6,337.79,0.15,1722.73,45.23
ORD-000123,2025-01-07,2025-01-12,Standard Class,CUST-00797,Home Office,East,PROD-0123,Technology,Machines,11,202.59,0.0,2228.49,535.39
ORD-000124,2025-11-11,2025-11-14,Standard Class,CUST-00021,Consumer,West,PROD-0124,Office Supplies,Binders,5,576.48,0.0,2882.4,106.96
ORD-000125,2024-07-23,2024-07-27,First Class,CUST-00792,Consumer,East,PROD-0125,Technology,Accessories,2,778.6,0.0,1557.2,598.12
ORD-000126,2024-03-05,2024-03-06,First Class,CUST-00199,Corporate,South,PROD-0126,Technology,Phones,3,718.13,0.0,2154.39,766.79
ORD-000127,2024-01-13,2024-01-16,Standard Class,CUST-00894,Consumer,East,PROD-0127,Furniture,Bookcases,4,390.12,0.0,1560.48,227.51
ORD-000128,2024-12-26,2025-01-01,Same Day,CUST-00721,Consumer,South,PROD-0128,Office Supplies,Paper,8,420.82,0.1,3029.9,296.24
ORD-000129,2024-08-29,2024-09-04,Second Class,CUST-00392,Home Office,East,PROD-0129,Office Supplies,Labels,11,435.05,0.0,4785.55,100.6
ORD-000130,2025-06-07,2025-06-13,Second Class,CUST-00714,Corporate,West,PROD-0130,Furniture,Furnishings,8,13.74,0.0,109.92,17.46
ORD-000131,2025-03-11,2025-03-12,Standard Class,CUST-00194,Consumer,East,PROD-0131,Office Supplies,Binders,6,512.95,0.1,2769.93,831.79
ORD-000132,2025-09-20,2025-09-22,Second Class,CUST-00009,Corporate,South,PROD-0132,Furniture,Chairs,6,556.86,0.1,3007.04,148.6
ORD-000133,2024-12-16,2024-12-18,Standard Class,CUST-00459,Corporate,West,PROD-0133,Office Supplies,Art,4,499.94,0.0,1999.76,583.76
ORD-000134,2025-06-13,2025-06-16,Second Class,CUST-00012,Consumer,West,PROD-0134,Furniture,Furnishings,7,587.01,0.0,4109.07,854.16
ORD-000135,2026-03-16,2026-03-23,Standard Class,CUST-00288,Home Office,South,PROD-0135,Office Supplies,Labels,3,149.7,0.0,449.1,101.78
ORD-000136,2024-07-02,2024-07-03,Standard Class,CUST-00207,Consumer,West,PROD-0136,Office Supplies,Art,1,757.2,0.0,757.2,288.03
ORD-000137,2025-08-14,2025-08-18,Standard Class,CUST-00562,Corporate,South,PROD-0137,Office Supplies,Art,1,465.03,0.0,465.03,-39.67
ORD-000138,2025-05-15,2025-05-19,Standard Class,CUST-00371,Consumer,South,PROD-0138,Technology,Accessories,10,821.57,0.0,8215.7,1737.48
ORD-000139,2023-01-21,2023-01-28,Second Class,CUST-00298,Consumer,South,PROD-0139,Furniture,Tables,2,166.97,0.2,267.15,39.04
ORD-000140,2023-11-14,2023-11-20,Standard Class,CUST-00130,Corporate,West,PROD-0140,Technology,Machines,7,151.35,0.0,1059.45,407.58
ORD-000141,2023-03-07,2023-03-10,Standard Class,CUST-00303,Corporate,South,PROD-0141,Office Supplies,Binders,11,795.92,0.0,8755.12,572.98
ORD-000142,2025-04-23,2025-04-29,First Class,CUST-00313,Corporate,South,PROD-0142,Furniture,Chairs,6,155.02,0.0,930.12,249.46
ORD-000143,2026-05-12,2026-05-17,First Class,CUST-00620,Consumer,South,PROD-0143,Technology,Copiers,11,105.17,0.0,1156.87,-82.67
ORD-000144,2024-05-25,2024-05-30,Standard Class,CUST-00757,Consumer,East,PROD-0144,Technology,Phones,11,287.96,0.0,3167.56,-250.91
ORD-000145,2024-05-04,2024-05-08,Same Day,CUST-00306,Consumer,Central,PROD-0145,Technology,Copiers,9,524.2,0.0,4717.8,758.93
ORD-000146,2025-07-07,2025-07-11,Standard Class,CUST-00375,Corporate,South,PROD-0146,Office Supplies,Labels,8,873.07,0.0,6984.56,1650.46
ORD-000147,2024-05-31,2024-06-07,First Class,CUST-00414,Home Office,East,PROD-0147,Furniture,Tables,2,223.51,0.15,379.97,126.27
ORD-000148,2024-08-10,2024-08-13,Standard Class,CUST-00654,Corporate,South,PROD-0148,Technology,Accessories,5,601.94,0.0,3009.7,223.58
ORD-000149,2025-10-06,2025-10-12,Second Class,CUST-00757,Home Office,East,PROD-0149,Office Supplies,Binders,9,102.65,0.1,831.47,234.97
ORD-000150,2023-01-19,2023-01-25,First Class,CUST-00641,Consumer,East,PROD-0150,Technology,Phones,8,270.7,0.1,1949.04,125.11
ORD-000151,2025-12-24,2025-12-28,Standard Class,CUST-00305,Consumer,Central,PROD-0151,Office Supplies,Labels,1,402.76,0.0,402.76,77.95
ORD-000152,2025-08-25,2025-08-31,Standard Class,CUST-00328,Corporate,West,PROD-0152,Office Supplies,Paper,2,433.87,0.0,867.74,61.28
ORD-000153,2023-01-12,2023-01-17,Second Class,CUST-00343,Corporate,Central,PROD-0153,Office Supplies,Labels,6,673.45,0.1,3636.63,584.1
ORD-000154,2023-01-21,2023-01-28,Second Class,CUST-00051,Home Office,South,PROD-0154,Office Supplies,Labels,4,841.32,0.0,3365.28,-165.87
ORD-000155,2025-08-21,2025-08-26,Standard Class,CUST-00144,Home Office,East,PROD-0155,Office Supplies,Storage,10,551.25,0.1,4961.25,180.15
ORD-000156,2024-10-05,2024-10-07,Standard Class,CUST-00159,Corporate,Central,PROD-0156,Furniture,Bookcases,7,269.27,0.15,1602.16,-11.83
ORD-000157,2025-08-09,2025-08-13,Second Class,CUST-00891,Consumer,South,PROD-0157,Office Supplies,Binders,7,576.0,0.0,4032.0,793.37
ORD-000158,2025-11-15,2025-11-16,First Class,CUST-00720,Home Office,East,PROD-0158,Office Supplies,Paper,1,217.0,0.15,184.45,6.9
ORD-000159,2024-06-14,2024-06-18,Second Class,CUST-00439,Consumer,East,PROD-0159,Office Supplies,Paper,2,141.92,0.0,283.84,94.98
ORD-000160,2024-11-03,2024-11-10,Standard Class,CUST-00523,Consumer,Central,PROD-0160,Office Supplies,Labels,10,234.91,0.1,2114.19,-149.63
ORD-000161,2025-07-09,2025-07-11,Standard Class,CUST-00167,Consumer,West,PROD-0161,Office Supplies,Labels,9,624.73,0.5,2811.28,-100.65
ORD-000162,2026-05-26,2026-06-01,Second Class,CUST-00676,Consumer,West,PROD-0162,Office Supplies,Labels,3,364.06,0.0,1092.18,78.4
ORD-000163,2025-09-25,2025-09-29,Standard Class,CUST-00160,Corporate,West,PROD-0163,Office Supplies,Art,5,247.68,0.0,1238.4,297.3
ORD-000164,2024-01-16,2024-01-18,Standard Class,CUST-00803,Consumer,Central,PROD-0164,Office Supplies,Paper,2,404.49,0.0,808.98,153.9
ORD-000165,2024-03-28,2024-04-02,Standard Class,CUST-00633,Corporate,Central,PROD-0165,Office Supplies,Binders,7,681.77,0.0,4772.39,1109.37
ORD-000166,2025-09-06,2025-09-09,Standard Class,CUST-00517,Consumer,Central,PROD-0166,Technology,Phones,4,834.67,0.0,3338.68,1071.77
ORD-000167,2023-05-29,2023-06-02,Standard Class,CUST-00784,Corporate,South,PROD-0167,Office Supplies,Paper,6,147.58,0.0,885.48,-36.46
ORD-000168,2023-04-24,2023-04-29,Standard Class,CUST-00843,Home Office,West,PROD-0168,Office Supplies,Labels,3,360.3,0.0,1080.9,216.5
ORD-000169,2023-11-07,2023-11-13,First Class,CUST-00490,Home Office,Central,PROD-0169,Technology,Machines,1,109.15,0.15,92.78,8.38
ORD-000170,2026-05-24,2026-05-26,Standard Class,CUST-00073,Corporate,Central,PROD-0170,Technology,Accessories,5,25.49,0.0,127.45,1.5
ORD-000171,2026-05-14,2026-05-18,Standard Class,CUST-00289,Corporate,East,PROD-0171,Office Supplies,Paper,4,547.7,0.0,2190.8,764.88
ORD-000172,2023-08-26,2023-08-31,Second Class,CUST-00482,Home Office,East,PROD-0172,Office Supplies,Storage,8,433.02,0.0,3464.16,56.38
ORD-000173,2026-04-11,2026-04-15,First Class,CUST-00532,Corporate,South,PROD-0173,Technology,Copiers,2,253.59,0.2,405.74,-40.51
ORD-000174,2023-02-12,2023-02-18,Second Class,CUST-00778,Consumer,Central,PROD-0174,Office Supplies,Storage,9,57.06,0.5,256.77,-18.26
ORD-000175,2025-12-15,2025-12-22,Standard Class,CUST-00190,Consumer,East,PROD-0175,Technology,Machines,3,164.1,0.1,443.07,92.61
ORD-000176,2025-02-23,2025-02-28,Standard Class,CUST-00231,Corporate,East,PROD-0176,Office Supplies,Art,2,121.99,0.2,195.18,24.38
ORD-000177,2024-04-27,2024-05-04,Standard Class,CUST-00386,Corporate,East,PROD-0177,Office Supplies,Labels,11,379.63,0.15,3549.54,678.23
ORD-000178,2025-06-19,2025-06-20,Standard Class,CUST-00173,Corporate,West,PROD-0178,Office Supplies,Paper,4,337.41,0.0,1349.64,301.03
ORD-000179,2023-11-04,2023-11-11,Standard Class,CUST-00594,Home Office,South,PROD-0179,Furniture,Tables,8,730.56,0.1,5260.03,1734.67
ORD-000180,2024-07-07,2024-07-12,Second Class,CUST-00425,Consumer,East,PROD-0180,Technology,Phones,1,728.95,0.0,728.95,28.93
ORD-000181,2023-08-30,2023-09-01,Second Class,CUST-00726,Corporate,South,PROD-0181,Office Supplies,Labels,8,208.13,0.2,1332.03,166.92
